tarih,max_sicaklik,min_sicaklik,yagis,ruzgar_hizi,sehir,bolge,etiket
2022-01-01,10.2,-0.8,0.0,5.2,Konya,Ic Anadolu,uygun
2022-01-02,8.4,2.1,1.5,17.3,Konya,Ic Anadolu,uygun
2022-01-03,7.8,-4.5,0.0,9.8,Konya,Ic Anadolu,uygun
2022-01-04,11.2,-0.7,0.0,9.1,Konya,Ic Anadolu,uygun
2022-01-05,12.5,-0.1,0.0,12.8,Konya,Ic Anadolu,uygun
2022-01-06,12.9,2.7,0.0,16.7,Konya,Ic Anadolu,uygun
2022-01-07,12.3,2.1,0.0,6.0,Konya,Ic Anadolu,uygun
2022-01-08,10.8,-0.5,0.0,13.6,Konya,Ic Anadolu,uygun
2022-01-09,11.0,1.5,0.9,20.1,Konya,Ic Anadolu,uygun
2022-01-10,9.0,1.5,3.2,15.4,Konya,Ic Anadolu,uygun
2022-01-11,8.8,2.6,2.4,20.2,Konya,Ic Anadolu,uygun
2022-01-12,6.3,1.7,16.5,15.5,Konya,Ic Anadolu,uygun
2022-01-13,2.2,-2.4,1.8,23.8,Konya,Ic Anadolu,uygun
2022-01-14,0.3,-6.5,0.0,18.9,Konya,Ic Anadolu,riskli
2022-01-15,3.7,-7.1,0.0,15.6,Konya,Ic Anadolu,riskli
2022-01-16,0.0,-5.5,0.0,21.7,Konya,Ic Anadolu,riskli
2022-01-17,2.7,-9.7,0.0,9.0,Konya,Ic Anadolu,riskli
2022-01-18,6.3,-5.3,1.4,22.1,Konya,Ic Anadolu,riskli
2022-01-19,-2.2,-7.1,0.6,28.1,Konya,Ic Anadolu,riskli
2022-01-20,0.4,-10.3,0.0,12.7,Konya,Ic Anadolu,riskli
2022-01-21,6.8,-8.1,0.0,15.9,Konya,Ic Anadolu,riskli
2022-01-22,7.1,-0.7,6.6,27.0,Konya,Ic Anadolu,uygun
2022-01-23,-0.8,-8.3,22.2,18.3,Konya,Ic Anadolu,riskli
2022-01-24,-6.1,-10.6,0.9,9.0,Konya,Ic Anadolu,riskli
2022-01-25,-6.6,-11.5,11.8,12.1,Konya,Ic Anadolu,riskli
2022-01-26,-6.2,-9.1,3.5,15.8,Konya,Ic Anadolu,riskli
2022-01-27,-6.2,-12.3,0.0,12.6,Konya,Ic Anadolu,riskli
2022-01-28,-10.0,-17.2,0.0,8.7,Konya,Ic Anadolu,uygun_degil
2022-01-29,-8.3,-13.7,0.0,5.5,Konya,Ic Anadolu,riskli
