tarih,max_sicaklik,min_sicaklik,yagis,ruzgar_hizi,nem,sehir,bolge
2022-01-01,17.9,9.1,0.0,13.1,78,Adana,Akdeniz
2022-01-02,16.5,6.8,0.0,18.1,81,Adana,Akdeniz
2022-01-03,15.2,5.8,0.0,17.6,91,Adana,Akdeniz
2022-01-04,15.9,7.2,0.0,12.0,92,Adana,Akdeniz
2022-01-05,17.3,6.1,0.0,11.0,85,Adana,Akdeniz
2022-01-06,16.8,10.7,0.9,11.4,94,Adana,Akdeniz
2022-01-07,19.1,11.0,0.0,12.4,84,Adana,Akdeniz
2022-01-08,19.4,10.4,0.0,17.1,72,Adana,Akdeniz
2022-01-09,18.6,10.7,5.3,19.0,89,Adana,Akdeniz
2022-01-10,12.0,8.8,26.2,21.7,97,Adana,Akdeniz
2022-01-11,11.4,9.3,33.8,16.5,96,Adana,Akdeniz
2022-01-12,11.5,9.2,34.7,14.9,94,Adana,Akdeniz
2022-01-13,15.6,8.2,5.3,19.0,94,Adana,Akdeniz
2022-01-14,14.0,5.4,0.0,19.6,59,Adana,Akdeniz
2022-01-15,13.3,3.5,0.0,28.4,74,Adana,Akdeniz
2022-01-16,8.9,2.9,0.0,24.9,58,Adana,Akdeniz
2022-01-17,10.4,1.9,0.0,14.3,86,Adana,Akdeniz
2022-01-18,8.9,3.5,6.9,21.9,92,Adana,Akdeniz
2022-01-19,6.1,1.0,1.7,23.4,89,Adana,Akdeniz
2022-01-20,8.9,1.4,0.0,21.8,82,Adana,Akdeniz
2022-01-21,10.6,0.5,0.0,11.4,90,Adana,Akdeniz
2022-01-22,7.1,3.9,10.1,23.1,92,Adana,Akdeniz
2022-01-23,11.6,2.3,39.6,32.0,97,Adana,Akdeniz
2022-01-24,8.5,0.6,2.3,17.7,70,Adana,Akdeniz
2022-01-25,7.0,-0.1,18.8,19.6,99,Adana,Akdeniz
2022-01-26,10.1,2.3,8.2,20.8,96,Adana,Akdeniz
2022-01-27,9.4,2.8,0.7,23.1,74,Adana,Akdeniz
2022-01-28,11.4,0.4,0.2,13.5,87,Adana,Akdeniz
2022-01-29,12.3,1.0,0.0,12.4,80,Adana,Akdeniz
2022-01-30,11.8,5.0,0.6,15.4,76,Adana,Akdeniz
2022-01-31,7.7,5.9,26.8,21.3,90,Adana,Akdeniz
2022-02-01,11.1,7.0,10.9,13.3,93,Adana,Akdeniz
2022-02-02,15.2,7.7,6.9,18.5,94,Adana,Akdeniz
2022-02-03,16.7,8.2,9.0,19.2,88,Adana,Akdeniz
2022-02-04,13.0,7.8,15.3,20.2,89,Adana,Akdeniz
2022-02-05,14.1,5.4,0.0,17.7,92,Adana,Akdeniz
2022-02-06,14.6,4.0,0.0,10.5,92,Adana,Akdeniz
2022-02-07,15.4,3.7,0.0,12.5,91,Adana,Akdeniz
2022-02-08,12.9,6.4,23.9,12.2,95,Adana,Akdeniz
2022-02-09,9.6,7.8,42.3,18.4,94,Adana,Akdeniz
2022-02-10,13.6,5.2,1.6,26.5,96,Adana,Akdeniz
2022-02-11,16.5,5.1,0.0,17.7,84,Adana,Akdeniz
2022-02-12,16.2,3.5,0.0,10.5,94,Adana,Akdeniz
2022-02-13,16.5,4.1,0.0,8.5,96,Adana,Akdeniz
2022-02-14,16.4,5.4,1.0,16.6,100,Adana,Akdeniz
2022-02-15,17.0,5.1,0.0,14.8,72,Adana,Akdeniz
2022-02-16,16.2,6.3,0.0,18.1,65,Adana,Akdeniz
2022-02-17,16.2,5.1,0.0,13.3,80,Adana,Akdeniz
2022-02-18,16.9,4.9,0.0,10.4,80,Adana,Akdeniz
2022-02-19,19.8,7.3,0.0,18.4,80,Adana,Akdeniz
2022-02-20,18.9,8.9,0.0,18.9,91,Adana,Akdeniz
2022-02-21,17.1,8.6,0.6,12.7,98,Adana,Akdeniz
2022-02-22,15.9,9.6,2.8,10.8,100,Adana,Akdeniz
2022-02-23,21.2,9.1,0.0,19.3,98,Adana,Akdeniz
2022-02-24,20.2,12.2,19.0,22.1,97,Adana,Akdeniz
2022-02-25,14.8,8.4,9.9,18.2,97,Adana,Akdeniz
2022-02-26,17.0,6.3,0.0,9.7,97,Adana,Akdeniz
2022-02-27,16.4,8.9,0.7,9.1,96,Adana,Akdeniz
2022-02-28,15.6,9.2,1.3,10.4,96,Adana,Akdeniz
2022-03-01,13.9,11.2,17.6,8.7,97,Adana,Akdeniz
2022-03-02,15.2,11.1,12.9,13.6,97,Adana,Akdeniz
2022-03-03,12.6,7.7,40.7,24.7,98,Adana,Akdeniz
2022-03-04,13.9,5.4,0.0,23.8,89,Adana,Akdeniz
2022-03-05,15.8,5.2,0.0,11.9,90,Adana,Akdeniz
2022-03-06,15.6,7.2,0.0,16.1,91,Adana,Akdeniz
2022-03-07,16.6,7.8,2.6,13.0,90,Adana,Akdeniz
2022-03-08,16.9,9.1,4.8,13.3,97,Adana,Akdeniz
2022-03-09,15.8,9.7,14.6,10.9,97,Adana,Akdeniz
2022-03-10,14.7,7.3,9.3,17.6,97,Adana,Akdeniz
2022-03-11,11.3,5.0,2.8,26.1,96,Adana,Akdeniz
2022-03-12,10.6,3.3,0.1,14.5,56,Adana,Akdeniz
2022-03-13,6.7,1.9,1.0,18.3,67,Adana,Akdeniz
2022-03-14,11.1,2.7,0.0,19.2,51,Adana,Akdeniz
2022-03-15,10.2,3.5,0.0,25.3,45,Adana,Akdeniz
2022-03-16,13.1,3.9,0.0,14.8,81,Adana,Akdeniz
2022-03-17,13.5,3.8,0.3,11.1,93,Adana,Akdeniz
2022-03-18,13.4,4.2,0.3,23.3,94,Adana,Akdeniz
2022-03-19,8.8,3.5,0.0,20.7,41,Adana,Akdeniz
2022-03-20,11.4,0.6,0.0,17.7,60,Adana,Akdeniz
2022-03-21,13.9,3.6,0.0,21.2,62,Adana,Akdeniz
2022-03-22,14.7,5.3,0.0,15.3,67,Adana,Akdeniz
2022-03-23,15.6,4.2,0.1,14.2,75,Adana,Akdeniz
2022-03-24,15.1,5.8,1.4,10.8,98,Adana,Akdeniz
2022-03-25,16.2,4.4,0.0,14.3,96,Adana,Akdeniz
2022-03-26,16.7,5.4,1.5,16.6,84,Adana,Akdeniz
2022-03-27,16.9,5.5,0.0,18.9,80,Adana,Akdeniz
2022-03-28,19.7,5.8,0.0,10.8,90,Adana,Akdeniz
2022-03-29,21.0,7.6,0.0,11.9,85,Adana,Akdeniz
2022-03-30,23.7,11.5,0.6,15.2,73,Adana,Akdeniz
2022-03-31,22.9,8.9,0.0,8.6,92,Adana,Akdeniz
2022-04-01,27.6,11.2,0.0,12.8,68,Adana,Akdeniz
2022-04-02,28.9,13.4,0.0,14.8,86,Adana,Akdeniz
2022-04-03,22.1,11.8,0.0,12.6,95,Adana,Akdeniz
2022-04-04,22.9,12.1,0.0,15.6,94,Adana,Akdeniz
2022-04-05,23.5,12.3,0.0,8.7,96,Adana,Akdeniz
2022-04-06,29.7,14.6,0.0,15.5,86,Adana,Akdeniz
2022-04-07,22.5,13.6,0.2,15.6,99,Adana,Akdeniz
2022-04-08,21.6,14.8,1.7,20.7,100,Adana,Akdeniz
2022-04-09,24.0,13.4,0.0,15.5,100,Adana,Akdeniz
2022-04-10,23.9,13.6,1.1,15.5,100,Adana,Akdeniz
2022-04-11,22.0,11.2,7.0,22.5,100,Adana,Akdeniz
2022-04-12,19.0,9.6,0.0,29.5,95,Adana,Akdeniz
2022-04-13,19.5,11.4,0.0,25.6,52,Adana,Akdeniz
2022-04-14,21.1,9.4,0.0,16.6,73,Adana,Akdeniz
2022-04-15,24.7,10.3,0.0,15.5,83,Adana,Akdeniz
2022-04-16,25.0,11.2,0.0,15.5,67,Adana,Akdeniz
2022-04-17,27.6,11.6,0.0,17.2,87,Adana,Akdeniz
2022-04-18,29.1,19.0,0.4,22.0,58,Adana,Akdeniz
2022-04-19,22.2,14.2,1.8,22.9,89,Adana,Akdeniz
2022-04-20,22.2,13.1,0.4,16.9,92,Adana,Akdeniz
2022-04-21,21.9,12.5,0.2,14.4,94,Adana,Akdeniz
2022-04-22,28.2,11.6,0.0,9.4,100,Adana,Akdeniz
2022-04-23,32.3,15.6,0.0,14.0,79,Adana,Akdeniz
2022-04-24,33.2,19.1,0.0,14.2,58,Adana,Akdeniz
2022-04-25,29.9,14.9,0.0,14.8,87,Adana,Akdeniz
2022-04-26,29.5,14.1,0.0,15.2,92,Adana,Akdeniz
2022-04-27,29.9,13.2,0.0,13.1,99,Adana,Akdeniz
2022-04-28,30.9,14.4,0.0,10.9,90,Adana,Akdeniz
2022-04-29,29.8,14.7,0.0,10.7,91,Adana,Akdeniz
2022-04-30,31.4,20.5,0.2,23.6,73,Adana,Akdeniz
2022-05-01,23.6,16.9,4.2,14.8,91,Adana,Akdeniz
2022-05-02,24.2,17.0,1.8,16.1,99,Adana,Akdeniz
2022-05-03,28.3,16.4,0.7,9.8,98,Adana,Akdeniz
2022-05-04,25.1,15.6,26.2,18.8,90,Adana,Akdeniz
2022-05-05,21.2,14.4,9.6,14.4,93,Adana,Akdeniz
2022-05-06,22.9,12.8,6.0,18.7,98,Adana,Akdeniz
2022-05-07,23.3,12.9,0.0,20.9,89,Adana,Akdeniz
2022-05-08,25.2,13.8,0.0,19.1,84,Adana,Akdeniz
2022-05-09,25.9,13.7,0.0,18.4,89,Adana,Akdeniz
2022-05-10,27.1,14.6,0.0,21.4,86,Adana,Akdeniz
2022-05-11,25.2,14.6,0.2,14.2,94,Adana,Akdeniz
2022-05-12,26.0,15.8,0.0,15.8,96,Adana,Akdeniz
2022-05-13,29.4,15.0,0.0,16.8,97,Adana,Akdeniz
2022-05-14,29.4,15.3,0.0,18.7,89,Adana,Akdeniz
2022-05-15,23.5,15.0,9.7,16.9,93,Adana,Akdeniz
2022-05-16,26.9,15.1,0.0,18.4,96,Adana,Akdeniz
2022-05-17,26.0,16.5,0.0,11.1,96,Adana,Akdeniz
2022-05-18,27.6,15.9,0.0,16.9,98,Adana,Akdeniz
2022-05-19,27.1,16.3,0.7,13.8,100,Adana,Akdeniz
2022-05-20,28.0,17.4,0.0,17.6,85,Adana,Akdeniz
2022-05-21,31.1,17.0,0.0,16.0,55,Adana,Akdeniz
2022-05-22,30.3,17.2,4.5,23.2,93,Adana,Akdeniz
2022-05-23,27.1,16.1,0.8,17.6,98,Adana,Akdeniz
2022-05-24,27.4,18.1,0.8,15.0,97,Adana,Akdeniz
2022-05-25,28.5,17.9,0.1,15.1,100,Adana,Akdeniz
2022-05-26,33.2,17.5,0.0,21.6,92,Adana,Akdeniz
2022-05-27,35.7,19.9,0.0,18.4,72,Adana,Akdeniz
2022-05-28,35.7,20.8,0.0,17.8,82,Adana,Akdeniz
2022-05-29,36.5,20.6,0.0,22.3,91,Adana,Akdeniz
2022-05-30,36.2,20.9,0.0,11.9,88,Adana,Akdeniz
2022-05-31,35.2,20.8,0.1,15.2,94,Adana,Akdeniz
2022-06-01,33.0,20.9,0.0,17.4,98,Adana,Akdeniz
2022-06-02,37.0,20.1,0.0,20.6,97,Adana,Akdeniz
2022-06-03,32.0,20.6,0.0,16.9,97,Adana,Akdeniz
2022-06-04,30.3,19.5,0.0,17.2,97,Adana,Akdeniz
2022-06-05,30.1,18.8,0.0,15.5,97,Adana,Akdeniz
2022-06-06,29.5,20.1,0.1,15.1,95,Adana,Akdeniz
2022-06-07,29.5,21.5,0.8,15.3,94,Adana,Akdeniz
2022-06-08,28.9,21.4,1.7,16.6,98,Adana,Akdeniz
2022-06-09,30.9,20.5,2.2,16.2,96,Adana,Akdeniz
2022-06-10,30.9,21.4,0.3,15.3,97,Adana,Akdeniz
2022-06-11,32.2,21.1,0.0,17.2,91,Adana,Akdeniz
2022-06-12,29.0,20.2,1.1,24.0,96,Adana,Akdeniz
2022-06-13,29.0,19.2,8.5,14.7,94,Adana,Akdeniz
2022-06-14,27.1,20.1,5.5,13.4,96,Adana,Akdeniz
2022-06-15,30.4,19.6,0.3,16.8,96,Adana,Akdeniz
2022-06-16,33.8,20.4,0.0,16.3,96,Adana,Akdeniz
2022-06-17,34.2,21.1,0.0,15.0,97,Adana,Akdeniz
2022-06-18,37.3,21.9,0.0,20.2,97,Adana,Akdeniz
2022-06-19,32.4,22.2,0.0,16.6,98,Adana,Akdeniz
2022-06-20,32.2,22.8,0.0,17.7,94,Adana,Akdeniz
2022-06-21,29.1,21.8,0.0,22.6,94,Adana,Akdeniz
2022-06-22,34.9,20.6,0.0,20.9,95,Adana,Akdeniz
2022-06-23,34.8,22.5,0.0,20.5,95,Adana,Akdeniz
2022-06-24,31.3,22.2,13.3,11.5,92,Adana,Akdeniz
2022-06-25,32.5,21.5,2.5,19.6,86,Adana,Akdeniz
2022-06-26,31.6,21.9,0.0,16.7,77,Adana,Akdeniz
2022-06-27,29.9,20.6,0.1,16.6,92,Adana,Akdeniz
2022-06-28,31.4,20.8,1.5,13.5,89,Adana,Akdeniz
2022-06-29,32.8,21.3,0.0,14.5,95,Adana,Akdeniz
2022-06-30,33.0,21.8,0.2,18.0,97,Adana,Akdeniz
2022-07-01,32.5,22.8,0.0,14.4,95,Adana,Akdeniz
2022-07-02,36.2,23.0,0.0,22.8,97,Adana,Akdeniz
2022-07-03,36.5,22.4,0.0,20.5,94,Adana,Akdeniz
2022-07-04,35.8,20.2,0.0,20.9,92,Adana,Akdeniz
2022-07-05,34.2,21.1,0.0,18.0,95,Adana,Akdeniz
2022-07-06,33.8,22.9,0.0,17.4,93,Adana,Akdeniz
2022-07-07,32.7,23.1,0.0,16.5,96,Adana,Akdeniz
2022-07-08,32.5,23.2,0.1,16.0,98,Adana,Akdeniz
2022-07-09,32.5,24.4,0.0,16.4,93,Adana,Akdeniz
2022-07-10,32.0,23.6,0.3,22.4,96,Adana,Akdeniz
2022-07-11,32.5,23.2,0.0,18.7,96,Adana,Akdeniz
2022-07-12,34.5,23.3,0.0,19.1,94,Adana,Akdeniz
2022-07-13,34.8,24.0,0.0,21.4,99,Adana,Akdeniz
2022-07-14,36.3,23.9,0.0,22.4,95,Adana,Akdeniz
2022-07-15,33.9,23.2,0.0,19.5,97,Adana,Akdeniz
2022-07-16,35.2,23.8,0.0,18.5,94,Adana,Akdeniz
2022-07-17,36.7,23.3,0.0,20.8,97,Adana,Akdeniz
2022-07-18,38.5,23.1,0.0,20.4,96,Adana,Akdeniz
2022-07-19,38.0,24.3,0.0,18.6,90,Adana,Akdeniz
2022-07-20,36.5,24.8,0.0,20.1,87,Adana,Akdeniz
2022-07-21,35.5,25.2,0.0,18.5,91,Adana,Akdeniz
2022-07-22,36.5,23.5,0.0,21.9,98,Adana,Akdeniz
